method,foscttm,batch
LigerOnline (UMAP),0.2380297257650601,s1d2
Liger (UMAP),0.16649330198189596,s1d2
Liger (UMAP),0.08372864613452799,s3d7
LigerOnline (UMAP),0.2148819633695123,s1d2
LigerOnline,0.16638057157050212,s3d7
LigerOnline,0.15156005751270787,s3d7
glue,0.04965766753135884,s1d2
LigerOnline (UMAP),0.21874167945215947,s1d2
LigerOnline,0.1542625763810358,s3d7
Liger (UMAP),0.16821443279801915,s1d2
LigerOnline,0.19317995194549764,s1d2
Liger,0.15379737619995415,s1d2
bindSC,0.07352904270035283,s3d7
glue,0.03208229694096719,s3d7
LigerOnline (UMAP),0.10218097201387863,s3d7
LigerOnline (UMAP),0.1894344005327214,s1d2
Liger,0.16892605471525743,s1d2
Liger,0.17211962470041278,s1d2
Liger (UMAP),0.18306716132412665,s1d2
glue,0.04503238299186966,s1d2
Liger,0.17338328234475825,s1d2
Liger (UMAP),0.1849092442459038,s1d2
Liger (UMAP),0.18767937042347926,s3d7
LigerOnline (UMAP),0.13089892741535655,s3d7
LigerOnline (UMAP),0.1719131237541492,s1d2
Liger,0.13082835058969483,s3d7
Liger (UMAP),0.13703929974002094,s3d7
Liger (UMAP),0.11760024467350962,s3d7
SiaNN,0.050186504849255326,s3d7
glue,0.03302753093990021,s3d7
Liger (UMAP),0.10970635732133993,s3d7
LigerOnline,0.15188717207895686,s3d7
Liger,0.20415007715549752,s1d2
LigerOnline (UMAP),0.12093232713740071,s3d7
Liger,0.12269944052315065,s3d7
glue,0.036662170142873776,s3d7
glue,0.04252860653047432,s1d2
glue,0.03225813313767495,s3d7
Liger,0.09972669723398084,s3d7
LigerOnline (UMAP),0.23846433885312046,s1d2
LigerOnline,0.19737108494255967,s1d2
Liger (UMAP),0.1376481388403112,s1d2
LigerOnline,0.2228268741515196,s1d2
glue,0.049592915393988524,s1d2
Liger,0.1362918191226555,s1d2
Liger (UMAP),0.1445207663894684,s3d7
glue,0.052536843491043206,s1d2
Liger (UMAP),0.08784563660727586,s3d7
glue,0.03436464000325714,s3d7
Liger,0.15001031282992877,s1d2
glue,0.03484359841533081,s3d7
Liger (UMAP),0.1024285967711412,s3d7
LigerOnline,0.24345288695571857,s1d2
Liger,0.0906875319157507,s3d7
glue,0.03347043350704405,s3d7
LigerOnline,0.15913770898522425,s3d7
Seurat,0.053140741446040266,s3d7
Seurat,0.0979107431017729,s1d2
LigerOnline (UMAP),0.12004444859007375,s3d7
Liger (UMAP),0.19796916663401912,s1d2
bindSC,0.09185265801822459,s1d2
Liger,0.10277787262221261,s3d7
LigerOnline (UMAP),0.24469802847524788,s1d2
Liger,0.17593896911502235,s1d2
LigerOnline,0.23623572503837004,s1d2
LigerOnline,0.2387143065381387,s1d2
Liger,0.11343995487391549,s3d7
LigerOnline,0.15915607350071503,s3d7
glue,0.05035405844269997,s1d2
Liger (UMAP),0.13918109478678506,s1d2
SiaNN,0.0579801497911058,s1d2
LigerOnline (UMAP),0.13846901227665168,s3d7
glue,0.049814674495892386,s1d2
LigerOnline (UMAP),0.1541724502324323,s3d7
LigerOnline (UMAP),0.10771071073475404,s3d7
glue,0.04225917361403647,s3d7
LigerOnline,0.15482457902444893,s3d7
LigerOnline (UMAP),0.16402620482347224,s1d2
LigerOnline (UMAP),0.13856659732670817,s3d7
Liger,0.18024044913250012,s3d7
LigerOnline,0.23856395126067254,s1d2
Liger (UMAP),0.2167215485149213,s1d2
LigerOnline,0.1461081660268527,s3d7
glue,0.05159181523209732,s1d2
LigerOnline,0.23384035750130164,s1d2
Liger,0.1295858914852089,s3d7
