method,cell_type_score,modality_score,batch_score
bindSC,0.06413657017612247,0.9986784791607198,0.9644159046812066
Liger (UMAP),0.04488786687944948,0.9973529943231634,0.819334885622578
Liger,0.03953531278697992,0.9937532245140078,0.8963105529833251
Liger (UMAP),0.018148329006966307,0.9908532414903194,0.8444769866033145
Liger (UMAP),0.021687447799231,0.996457912936301,0.8298708808801987
Liger (UMAP),-0.04325365864784804,0.9912466607642633,0.8335512837531114
LigerOnline (UMAP),0.027381593697340587,0.9993544416601713,0.8133136305120486
LigerOnline,0.03334951580833294,0.9984208693369662,0.9185818514614369
GLUE,0.17233037591292008,0.9992339354305597,0.8862744952781296
Liger,0.05470056373590658,0.9981916537388603,0.8756254222152863
Liger (UMAP),0.03042500133229245,0.9936442078268148,0.8230052596777035
LigerOnline (UMAP),-0.02195201124982311,0.9968972376680981,0.8185678309025042
LigerOnline,0.021974831466567216,0.9970074661820267,0.9254235722302885
LigerOnline,0.008818557276401783,0.9963576441753521,0.9131718806466697
Seurat,0.22086302828364926,0.9976654219392774,0.8290821521850233
Liger,0.060881157421803396,0.9974916464691589,0.8987045491409311
SiaNN,0.3038040363960525,0.9984300242254783,0.9157338099567963
GLUE,0.17850779298405925,0.9991462041093682,0.8919651515017316
GLUE,0.1701843035702386,0.999498690486452,0.8923021808734831
LigerOnline,0.01376558714039421,0.9975825701188171,0.8989448648520217
Liger,0.05276638634487373,0.9974105569447009,0.8858822712447476
LigerOnline (UMAP),-0.014204509748403248,0.9990098573023977,0.8149800503172848
LigerOnline (UMAP),-0.026257199446045293,0.9961184390947992,0.8305062991156715
Liger (UMAP),0.0015350367513053676,0.9947102212812726,0.8145265192923388
GLUE,0.17182369654840193,0.9992746733362909,0.8974268506971091
LigerOnline,0.01966115766567557,0.9974363201168408,0.9184153514052279
LigerOnline,0.0259774304519529,0.997073930568264,0.9118618921373491
Liger,0.024083061703151342,0.9914192100719604,0.8793785982769899
Liger (UMAP),0.0666966550693198,0.9985127312390805,0.824246730730609
LigerOnline,0.011537466453015859,0.9975267131500465,0.9004029385884049
LigerOnline (UMAP),-0.017687927193765954,0.9959940490094874,0.8136006421053944
GLUE,0.17167388442162262,0.9996878846982418,0.8976556949711298
LigerOnline (UMAP),-0.012440085918090664,0.9982839795011106,0.8169211626956329
Liger,0.02797851283668927,0.9958494486061067,0.884321614631948
Liger,0.021278242478295652,0.9937758998600371,0.8760471943241828
LigerOnline (UMAP),-0.03142545872868221,0.9949102023177624,0.8188534643504168
Liger,0.0001268378215347171,0.9915147730726589,0.8742517743693585
LigerOnline,0.010891619682338252,0.9990250737333344,0.9301672296365805
GLUE,0.17067678263962502,0.9994241966494721,0.888527299834609
LigerOnline (UMAP),0.034693683231087465,0.9977464400198189,0.8108743548096256
Liger (UMAP),0.06524861363828542,0.998380710783269,0.8200876629321059
GLUE,0.1833871579863535,0.9993143683345596,0.8820106277402844
GLUE,0.16669757595340107,0.9995121469846057,0.8910887130476398
