method,total,B1 B,Naive CD20+ B,Erythroblast,CD4+ T activated,CD14+ Mono,Plasma cell,NK,CD8+ T,Proerythroblast,cDC2,MK/E prog,Transitional B,Normoblast,CD16+ Mono,CD4+ T naive,G/M prog,Lymph prog,pDC,HSC
GLUE,0.6677263303386316,0.4414168937329701,0.8181818181818182,0.914351851851852,0.23518850987432674,0.9923995656894681,0.0,0.9512437810945272,0.8395953757225434,0.6348122866894198,0.25773195876288657,0.6353591160220995,0.6184419713831478,0.934065934065934,0.5814977973568282,0.02824858757062147,0.5679012345679012,0.0038314176245210726,0.6571428571428571,0.828125
GLUE,0.7038009675190048,0.4550408719346049,0.8591800356506238,0.8865740740740741,0.3285457809694793,0.990228013029316,0.0,0.9124378109452737,0.8410404624277457,0.5563139931740614,0.4639175257731959,0.5138121546961326,0.7631160572337043,0.912087912087912,0.5638766519823789,0.0423728813559322,0.6913580246913579,0.5440613026819924,0.8142857142857143,0.7109375
GLUE,0.6876295784381479,0.4713896457765668,0.8484848484848485,0.9050925925925926,0.2028725314183124,0.986970684039088,0.0,0.9313432835820896,0.8251445086705202,0.5904436860068261,0.29896907216494845,0.5469613259668509,0.7424483306836248,0.9010989010989012,0.5110132158590308,0.04519774011299435,0.6172839506172839,0.421455938697318,0.8,0.796875
GLUE,0.6721492743607463,0.452316076294278,0.7860962566844921,0.9305555555555556,0.3087971274685817,0.9923995656894681,0.0,0.9472636815920398,0.838150289017341,0.6143344709897611,0.21649484536082475,0.6464088397790055,0.6009538950715422,0.912087912087912,0.6696035242290749,0.03389830508474576,0.6049382716049383,0.0038314176245210726,0.65,0.8046875
GLUE,0.6702142363510711,0.446866485013624,0.7878787878787878,0.9282407407407408,0.2764811490125673,0.9913137893593921,0.0,0.9542288557213929,0.8063583815028902,0.6348122866894198,0.28865979381443296,0.7182320441988951,0.5755166931637521,0.9230769230769232,0.6563876651982379,0.011299435028248588,0.5864197530864198,0.0038314176245210726,0.7857142857142857,0.8515625
GLUE,0.7069799585348998,0.452316076294278,0.8645276292335116,0.914351851851852,0.3303411131059246,0.9880564603691641,0.0,0.9154228855721394,0.838150289017341,0.5597269624573379,0.27835051546391754,0.4585635359116022,0.7917329093799682,0.8901098901098901,0.5418502202643172,0.01694915254237288,0.7098765432098766,0.6628352490421456,0.7714285714285715,0.7578125
GLUE,0.6725639253628196,0.4959128065395095,0.7860962566844921,0.9097222222222222,0.31956912028725315,0.9891422366992401,0.0,0.9472636815920398,0.8121387283236994,0.6348122866894198,0.31958762886597936,0.7403314917127072,0.5786963434022258,0.8791208791208791,0.6387665198237885,0.025423728813559324,0.5987654320987654,0.0,0.6571428571428571,0.8515625
GLUE,0.6749136143745681,0.4414168937329701,0.7985739750445633,0.9189814814814816,0.3052064631956912,0.985884907709012,0.0,0.9472636815920398,0.8222543352601156,0.6075085324232082,0.3711340206185567,0.7127071823204421,0.6025437201907791,0.9010989010989012,0.5638766519823789,0.02824858757062147,0.6790123456790124,0.007662835249042145,0.8,0.8671875
Liger,0.6841741534208707,0.1880108991825613,0.8591800356506238,0.6550925925925926,0.6570915619389587,0.9402823018458196,0.0,0.9601990049751244,0.7976878612716763,0.5529010238907851,0.0,0.5524861878453039,0.8282988871224165,0.8131868131868132,0.4185022026431718,0.07062146892655367,0.061728395061728385,0.5555555555555556,0.85,0.90625
Liger,0.6469937802349689,0.3433242506811989,0.7130124777183601,0.4444444444444444,0.29084380610412924,0.9619978284473398,0.0,0.9621890547263682,0.7023121387283237,0.7167235494880546,0.0,0.5911602209944752,0.834658187599364,0.8571428571428571,0.4933920704845815,0.00847457627118644,0.006172839506172839,0.7509578544061303,0.8142857142857143,0.90625
Liger,0.6059433310297166,0.1362397820163488,0.7825311942959001,0.7986111111111112,0.30700179533213645,0.8664495114006515,0.0,0.9492537313432836,0.5809248554913294,0.39590443686006827,0.0,0.30386740331491713,0.8219395866454691,0.0,0.3259911894273128,0.002824858757062147,0.20987654320987653,0.7701149425287356,0.8,0.8984375
Liger,0.5393227366966137,0.8528610354223434,0.6434937611408199,0.6296296296296297,0.3141831238779174,0.17263843648208468,0.0,0.9512437810945272,0.6213872832369942,0.5460750853242321,0.0,0.5856353591160219,0.9268680445151032,0.8351648351648352,0.28193832599118945,0.005649717514124294,0.10493827160493828,0.0038314176245210726,0.8285714285714286,0.8671875
Liger,0.6382861091914306,0.17166212534059944,0.7754010695187166,0.7523148148148148,0.43087971274685816,0.9250814332247556,0.0,0.9432835820895522,0.5115606936416185,0.5767918088737202,0.0,0.6077348066298343,0.7901430842607313,0.7142857142857143,0.5462555066079295,0.03672316384180791,0.012345679012345678,0.7547892720306514,0.7928571428571428,0.8828125
Liger,0.5972356599861783,0.17983651226158034,0.6844919786096256,0.0046296296296296285,0.34829443447037706,0.9565689467969598,0.0,0.8796019900497513,0.6546242774566474,0.7030716723549488,0.0,0.5248618784530387,0.7965023847376789,0.967032967032967,0.5066079295154186,0.02824858757062147,0.037037037037037035,0.7854406130268199,0.8214285714285714,0.90625
Liger,0.600138217000691,0.06267029972752043,0.7985739750445633,0.6365740740740741,0.8581687612208259,0.44733984799131377,0.0,0.9601990049751244,0.6430635838150289,0.5255972696245734,0.010309278350515464,0.30386740331491713,0.8887122416534181,0.7582417582417582,0.9295154185022028,0.0,0.11728395061728394,0.0,0.8357142857142857,0.8671875
Liger,0.6775397373876987,0.2316076294277929,0.7736185383244206,0.5949074074074074,0.6140035906642729,0.9326818675352876,0.0,0.9522388059701492,0.8540462427745664,0.5938566552901023,0.010309278350515464,0.11049723756906077,0.8187599364069952,0.7692307692307693,0.5330396475770925,0.0,0.2469135802469136,0.7854406130268199,0.8285714285714286,0.8984375
Seurat,0.809813407049067,0.850136239782016,0.9215686274509799,0.9351851851851851,0.563734290843806,0.9663409337676441,0.846715328467153,0.985074626865672,0.8309248554913291,0.5904436860068261,0.670103092783505,0.87292817679558,0.8553259141494441,0.626373626373626,0.612334801762115,0.0536723163841808,0.8209876543209879,0.812260536398467,0.9,0.9453125
SiaNN,0.8111955770559779,0.8882833787465942,0.93048128342246,0.949074074074074,0.9299820466786356,0.96742671009772,0.0,0.9850746268656716,0.9017341040462428,0.8532423208191127,0.4020618556701031,0.3867403314917127,0.7615262321144675,0.934065934065934,0.8325991189427313,0.00847457627118644,0.7839506172839507,0.6896551724137931,0.7071428571428572,0.5234375
bindSC,0.7155494125777471,0.6811989100817438,0.839572192513369,0.8287037037037037,0.4937163375224417,0.9239956568946796,0.0948905109489051,0.9223880597014924,0.7947976878612717,0.5597269624573379,0.041237113402061855,0.4530386740331492,0.7456279809220986,0.5604395604395604,0.7444933920704846,0.03954802259887006,0.6296296296296297,0.6819923371647509,0.8857142857142857,0.9765625
